Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2018-11-10 00:00:00,6334.89,6334.9,6334.89,6334.89,2.78786686,17660.836573,6334.8923962
2018-11-10 00:01:00,6334.89,6334.9,6334.76,6334.77,2.62621696,16636.593857,6334.813197300001
2018-11-10 00:02:00,6334.77,6334.77,6334.76,6334.77,0.76075962,4819.2346929,6334.766680899999
2018-11-10 00:03:00,6334.77,6334.77,6334.76,6334.76,1.32712868,8407.0462423,6334.76344
2018-11-10 00:04:00,6334.77,6334.77,6334.76,6334.77,1.40976041,8930.4991631,6334.7637654
2018-11-10 00:05:00,6334.76,6334.77,6334.76,6334.77,1.31779762,8347.9421281,6334.7679502
2018-11-10 00:06:00,6334.77,6334.77,6334.76,6334.76,1.14376674,7245.4949534,6334.7662596
2018-11-10 00:07:00,6334.77,6334.77,6334.77,6334.77,0.50652146,3208.6969492,6334.77
2018-11-10 00:08:00,6334.77,6334.77,6334.76,6334.77,0.97867643,6199.6861655,6334.7659916
2018-11-10 00:09:00,6334.76,6334.8,6334.76,6334.79,0.7807989000000001,4946.177434499999,6334.76486
2018-11-10 00:10:00,6334.79,6334.8,6334.79,6334.8,0.84701056,5365.6366659,6334.7931174
2018-11-10 00:11:00,6334.8,6334.9,6334.79,6334.8,1.08530192,6875.1861257,6334.8143028
2018-11-10 00:12:00,6334.8,6334.9,6327.46,6327.46,37.99833301,240670.92853,6333.7233365
2018-11-10 00:13:00,6331.54,6333.63,6331.54,6333.54,0.44512120000000005,2819.0163997,6333.143421899999
2018-11-10 00:14:00,6333.87,6334.7,6333.53,6334.39,2.07589756,13147.935081,6333.6145937
2018-11-10 00:15:00,6334.39,6336.69,6334.39,6336.69,4.66397541,29547.066057999997,6335.167632899999
2018-11-10 00:16:00,6336.69,6336.69,6336.68,6336.69,0.35344215,2239.6531054,6336.6893432
2018-11-10 00:17:00,6336.69,6336.69,6336.68,6336.69,1.81051216,11472.651943,6336.6886987
2018-11-10 00:18:00,6336.69,6336.69,6336.68,6336.69,6.18116976,39168.156298,6336.68995
2018-11-10 00:19:00,6336.69,6336.69,6336.68,6336.69,0.86034305,5451.726003899999,6336.6886079
2018-11-10 00:20:00,6336.69,6336.69,6336.68,6336.69,0.9973264000000001,6319.742948100001,6336.6847083
2018-11-10 00:21:00,6336.69,6336.69,6336.68,6336.69,1.96862824,12474.573155,6336.683027
2018-11-10 00:22:00,6336.69,6336.69,6336.68,6336.69,4.35262404,27581.22893,6336.6899315
2018-11-10 00:23:00,6336.69,6336.69,6336.68,6336.69,1.56605914,9923.6220338,6336.6840883
2018-11-10 00:24:00,6336.69,6336.69,6336.25,6336.25,4.37653233,27732.371219999997,6336.608330399999
2018-11-10 00:25:00,6336.24,6336.25,6336.24,6336.25,0.86621809,5488.5704703,6336.2454947999995
2018-11-10 00:26:00,6336.24,6336.25,6336.0,6336.0,7.50113251,47527.823348000005,6336.0863556
2018-11-10 00:27:00,6336.01,6336.01,6336.0,6336.01,0.68310173,4328.1364554,6336.0057007
2018-11-10 00:28:00,6336.0,6336.01,6336.0,6336.01,1.34180874,8501.712319799999,6336.0090498
2018-11-10 00:29:00,6336.01,6336.01,6336.0,6336.01,0.26175423,1658.4762218,6336.005427100001
2018-11-10 00:30:00,6336.01,6336.01,6336.0,6336.01,0.54208693,3434.6651216,6336.004303899999
2018-11-10 00:31:00,6336.01,6336.01,6336.0,6336.01,0.67688988,4288.780267499999,6336.008846
2018-11-10 00:32:00,6336.01,6336.01,6336.0,6336.01,1.46354934,9273.0525841,6336.002709699999
2018-11-10 00:33:00,6336.01,6336.01,6336.0,6336.01,1.17331913,7434.1598168,6336.008360100001
2018-11-10 00:34:00,6336.0,6336.01,6336.0,6336.01,2.52108719,15973.613823,6336.0021367
2018-11-10 00:35:00,6336.01,6336.01,6336.0,6336.01,0.89910688,5696.7441827,6336.0033267
2018-11-10 00:36:00,6336.01,6336.01,6336.0,6336.0,0.95332891,6040.2986949,6336.0070502
2018-11-10 00:37:00,6336.01,6336.01,6336.0,6336.01,2.21907448,14060.067523,6336.005235399999
2018-11-10 00:38:00,6336.0,6336.01,6336.0,6336.01,2.16197707,13698.298518000001,6336.005459
2018-11-10 00:39:00,6336.01,6336.01,6336.0,6336.01,0.894136,5665.2497591,6336.0045442
2018-11-10 00:40:00,6336.01,6336.01,6336.0,6336.0,3.40916648,21600.483107,6336.001258300001
2018-11-10 00:41:00,6336.01,6336.01,6336.0,6336.01,4.45157335,28205.210963999998,6336.009483899999
2018-11-10 00:42:00,6336.01,6336.01,6336.0,6336.0,1.03362985,6549.0823919,6336.003543100001
2018-11-10 00:43:00,6336.01,6336.01,6336.0,6336.01,4.01729448,25453.608719,6336.0076901
2018-11-10 00:44:00,6336.0,6336.01,6336.0,6336.01,1.25786106,7969.811251800001,6336.002842600001
2018-11-10 00:45:00,6336.01,6336.01,6336.0,6336.01,2.54398981,16118.730022999998,6336.004161399999
2018-11-10 00:46:00,6336.0,6336.01,6336.0,6336.01,1.53195325,9706.4618801,6336.0039741
2018-11-10 00:47:00,6336.01,6336.01,6336.0,6336.0,4.60757834,29193.660614999997,6336.0096044
2018-11-10 00:48:00,6336.01,6336.01,6336.0,6336.01,0.75523939,4785.2007577,6336.0052734
2018-11-10 00:49:00,6336.0,6336.01,6336.0,6336.01,1.00870906,6391.1856906,6336.0050425
2018-11-10 00:50:00,6336.01,6336.01,6336.0,6336.01,0.61561117,3900.5184589,6336.0098858
2018-11-10 00:51:00,6336.01,6336.01,6336.0,6336.01,3.1841647,20174.873437000002,6336.0018522
2018-11-10 00:52:00,6336.01,6336.01,6336.0,6336.01,0.87907629,5569.832273800001,6336.005574399999
2018-11-10 00:53:00,6336.01,6336.01,6336.0,6336.01,1.11712702,7078.122488600001,6336.005093399999
2018-11-10 00:54:00,6336.01,6336.01,6336.0,6336.01,1.60654626,10179.083789,6336.004161399999
2018-11-10 00:55:00,6336.0,6336.01,6336.0,6336.01,1.40800424,8921.120748799998,6336.0041791
2018-11-10 00:56:00,6336.01,6336.01,6336.0,6336.01,1.90948208,12098.484561,6336.003195699999
2018-11-10 00:57:00,6336.01,6336.01,6336.0,6336.01,1.62613535,10303.199751,6336.0037962
2018-11-10 00:58:00,6336.0,6336.01,6336.0,6336.01,1.13043982,7162.4725281,6336.005156
2018-11-10 00:59:00,6336.0,6336.01,6336.0,6336.01,1.8418272,11669.821626,6336.002436
2018-11-10 01:00:00,6336.01,6336.01,6336.0,6336.01,0.99124049,6280.5066537,6336.0069701
2018-11-10 01:01:00,6336.01,6336.01,6336.0,6336.01,1.97749995,12529.450047,6336.005240699999
2018-11-10 01:02:00,6336.0,6336.01,6336.0,6336.0,1.57798634,9998.136234200001,6336.0093689
2018-11-10 01:03:00,6336.01,6336.01,6336.0,6336.01,0.63763047,4040.0325192,6336.0091923
2018-11-10 01:04:00,6336.01,6336.01,6336.0,6336.01,1.19068172,7544.167576999999,6336.006886
2018-11-10 01:05:00,6336.01,6336.01,6336.0,6336.01,1.16782447,7399.341860100001,6336.0051533
2018-11-10 01:06:00,6336.01,6336.01,6336.0,6336.01,2.77323926,17571.260956000002,6336.006131800001
2018-11-10 01:07:00,6336.0,6336.01,6336.0,6336.01,0.30263768,1917.5134964000001,6336.0038196000005
2018-11-10 01:08:00,6336.01,6336.01,6336.0,6336.01,1.03116052,6533.434856899999,6336.0017477
2018-11-10 01:09:00,6336.01,6336.01,6336.0,6336.0,2.76659607,17529.175874,6336.0083764
